track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:0BRBdIKCgizXKK4t7THPSt,34,0.798,0.44,0.0548,0.0851,"(0.185,)",-10.854,124.919,0.506
spotify:track:3pfwq6VFs73AstTH3ZUIXW,13,0.48,0.22,0.0897,0.94,"(0.0939,)",-15.729,91.7,0.199
spotify:track:0XaywLny1fOvZH70OVsXlb,0,0.487,0.168,0.0453,9.46e-05,"(0.113,)",-12.761,86.192,0.404
spotify:track:0u2P5u6lvoDfwTYjAADbn4,92,0.351,0.296,0.0333,0.0,"(0.095,)",-10.109,115.284,0.12
spotify:track:5rofrd6ZAJdyEA5F0BXVqT,21,0.575,0.429,0.0269,0.00475,"(0.169,)",-7.949,128.063,0.133
spotify:track:5RbMlPFL4gVyEHW2lEOuzG,66,0.519,0.666,0.0262,0.000169,"(0.0948,)",-6.163,149.839,0.461
spotify:track:3ZsOYk34IQMrH4B1PBdofL,53,0.752,0.292,0.0928,0.0,"(0.1,)",-8.967,89.831,0.621
spotify:track:3CtO2KXddMPr5awcQR2mM4,0,0.753,0.282,0.0299,0.0,"(0.125,)",-8.317,111.983,0.23
spotify:track:4VXePi7SFah8FPEiBiTghU,27,0.568,0.814,0.043,0.0,"(0.402,)",-5.078,144.956,0.462
spotify:track:3zz0FPrMvQu2LfyOLCdJb4,37,0.706,0.379,0.0397,1.91e-05,"(0.0817,)",-7.357,114.839,0.305
spotify:track:0IftMNKb34idqj5r0tJhRR,7,0.632,0.5,0.0276,0.00251,"(0.109,)",-13.418,110.013,0.265
spotify:track:6CTqCqStHM2ji0liLLVJvk,55,0.533,0.165,0.0396,0.937,"(0.105,)",-14.879,122.064,0.189
spotify:track:12ZYXSzFJUSrFyO1u3Ylqx,67,0.668,0.427,0.0271,1.44e-05,"(0.201,)",-8.74,87.031,0.604
spotify:track:6dr7ekfhlbquvsVY8D7gyk,71,0.646,0.439,0.818,0.0,"(0.0945,)",-10.837,160.387,0.528
spotify:track:43Ykum9T72UOPhBN31grpN,70,0.515,0.545,0.0353,1.97e-05,"(0.0921,)",-9.277,88.856,0.535
spotify:track:2Zpqou2hHr258rwGXMXQeF,25,0.521,0.746,0.0308,0.0,"(0.316,)",-4.834,118.078,0.421
spotify:track:6gxupt6imt0qIdbE8e356n,59,0.378,0.892,0.0807,0.0,"(0.526,)",-4.371,162.024,0.325
spotify:track:0z5HSQGWgnjdNvwbOmhB2w,44,0.339,0.205,0.0303,0.0,"(0.101,)",-15.315,81.586,0.166
spotify:track:3vRMw41qnJpJZ90JpGI7Y7,0,0.766,0.434,0.17,0.934,"(0.106,)",-12.18,98.044,0.489
spotify:track:5sgS3JUiUA3E4dYlmp6U0z,39,0.604,0.599,0.068,0.000126,"(0.0959,)",-5.996,139.932,0.383
spotify:track:7gUWF9wtf9Iy4FgY3turH4,30,0.607,0.454,0.0276,1.27e-06,"(0.0792,)",-5.766,74.075,0.14
spotify:track:7vQbuQcyTflfCIOu3Uzzya,61,0.754,0.424,0.0363,0.0,"(0.0652,)",-8.463,119.705,0.806
